cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
21-1414-00-1127831-1-1,Gobierno Autonomo Municipal De Corque,Obras,CD,Mejoramiento Sede Agroganadera Huamamarca - Fase Ix,Contratado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1414-00-1127831-1-1,Elias Yavi Cahuana (Telf: 77143005),,,-,,,Oruro,Otra Normativa especifica nacional
21-0283-14-1127826-1-1,Aduana Nacional Regional Oruro,Servicios Generales,CM,Contratacion Del Servicio De Transporte Para El Traslado  De Mercancia Comisada,Contratado,No,08/04/2021,05/04/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0283-14-1127826-1-1,Silvia Berrios Ventura (Telf: 5274822 - 5274822),,,-,,,Oruro,NB-SABS (D.S.0181)
21-0025-00-1127789-1-1,Ministerio De La Presidencia,Bienes,CM,Adquisicion De Papel Y Cuadernos,Contratado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0025-00-1127789-1-1,Eleuterio Quispe Mamani (Telf: 2442603),,,-,,,La Paz,NB-SABS (D.S.0181)
21-1345-00-1127699-1-1,Gobierno Autonomo Municipal De Entre Rios Cbba,Bienes,CM,Compra De Material De Limpieza Para El Funcionamiento Del Gobierno Autónomo Municipal De Entre Rios Gestión 2021,Contratado,No,08/04/2021,05/04/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1345-00-1127699-1-1,Remberto Balderrama Cespedes (Telf: 44136175),,,-,,,Cochabamba,NB-SABS (D.S.0181)
21-0291-00-1127742-1-1,Administradora Boliviana De Carreteras (Abc),Bienes,CM,"Servicio De Antivirus, Anti Spam Y Proxy",Contratado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Resolucion/Documento de Declaratoria Desierta 5.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0291-00-1127742-1-1,Adalid Bejarano Salas (Telf: 2159800),,,-,,,La Paz,NB-SABS (D.S.0181)
21-1283-00-1127750-1-1,Gobierno Autonomo Municipal De Escoma ,Bienes,CM,Adquisicion De Medicamentos E Insumos Medicos Para El Hospital Aymara Escoma Correspondiente Al Bismestre (Enero-Febrero 2021),Contratado,No,08/04/2021,05/04/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Contrato/Orden de Compra/Orden de Servicio 5.Acta o informe de recepcion definitiva 6.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1283-00-1127750-1-1,Carmen Blanca Quispe Quispe (Telf: 73577795 - 63155220),,,-,,,La Paz,NB-SABS (D.S.0181)
21-1206-00-1127747-1-1,Gobierno Autonomo Municipal De Viacha,Bienes,CM,"Adquisicion De Luminarias Ypostes, Seccional (Adq. De Luminarias Y Brazos Metalicos Para La Comunidad Mamani)",Contratado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1206-00-1127747-1-1,Cesar Chavez Condori (Telf: 2800006),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0423-00-1127593-1-1,Caja De Salud De Caminos Y Ramas Anexas,Bienes,CM,Adquisicion De Medicamentos E Insumos Medicos Etapa 1 - Regional Riberalta,Cancelado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Resolucion de Excepcion 4.Resolucion de Cancelación,1.FORM 110 2.FORM 900 3.FORM 220,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0423-00-1127593-1-1,Jose Luis Villarroel Gil (Telf: 2916539),,,-,,,La Paz,NB-SABS (D.S.0181)
21-1312-00-1127319-1-1,Gobierno Autonomo Municipal De Sacaba,Bienes,CM,"Mantto. Y Mejor. De Hospitales Y Establecimientos De Salud De 1er Nivel (Adquisición De Herramientas Menores, Material Electrico Y De Plomeria Para La Cuadrilla De Mantenimineto De Centros De Salud)",Contratado,No,08/04/2021,05/04/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1312-00-1127319-1-1,Jose Angel Olmos Rojas (Telf: 4702301),,,-,,,Cochabamba,NB-SABS (D.S.0181)
21-1704-00-1127729-1-1,Gobierno Autonomo Municipal De La Guardia,Servicios Generales,CM,Alquiler De Excavadora Para Mantenimiento De Via Interna Afectada Por La Lluvia Dentro Del Sitio De Disposicion Final Km 20 Del Municipio De La Guardia,Contratado,No,08/04/2021,05/04/2021,1.Oferta del Proveedor Identificado 2.Oferta del Proveedor Identificado 3.Declaración Jurada del Proveedor 4.Resolucion/Documento de Declaratoria Desierta 5.Contrato/Orden de Compra/Orden de Servicio 6.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1704-00-1127729-1-1,Maricel Solano Medina (Telf: 33557247),,,-,,,Santa Cruz,NB-SABS (D.S.0181)
